Seqname	GeneSymbol	Type	Diagrams	Total	Context+	Context	Structure	Energy	"Branch Length"	Pct	8mer	7mer-m8	7mer-A1	6mer	"Offset 6mer"	Imperfect	8mer	7mer-m8	7mer-A1	6mer	"Offset 6mer"	Imperfect	"UTR Length"
XR_001324192	LOC106586442	NonCoding	"Click Me"	1	-0.497	-0.552	154	-20.8	0		0	0	0	0	0	0	1	0	0	0	0	0	2146
XR_001324195	LOC106586442	NonCoding	"Click Me"	1	-0.497	-0.552	154	-20.8	0		0	0	0	0	0	0	1	0	0	0	0	0	2161
XM_014187358	LOC106596037	NonCoding	"Click Me"	1	-0.492	-0.5	148	-18.31	0		0	0	0	0	0	0	1	0	0	0	0	0	1564
XM_014142021	LOC106570068	NonCoding	"Click Me"	1	-0.491	-0.513	149	-20.14	0		0	0	0	0	0	0	1	0	0	0	0	0	3350
NM_001141283	denr	Coding	"Click Me"	1	-0.489	-0.509	149	-18.29	0		0	0	0	0	0	0	1	0	0	0	0	0	1035
XM_014187533	LOC106596222	NonCoding	"Click Me"	1	-0.488	-0.497	148	-18.31	0		0	0	0	0	0	0	1	0	0	0	0	0	1847
XM_014124542	denr	NonCoding	"Click Me"	1	-0.487	-0.508	149	-18.29	0		0	0	0	0	0	0	1	0	0	0	0	0	1032
XM_014179040	LOC106589279	NonCoding	"Click Me"	1	-0.485	-0.505	158	-19.83	0		0	0	0	0	0	0	1	0	0	0	0	0	1130
XM_014179041	LOC106589279	NonCoding	"Click Me"	1	-0.485	-0.505	158	-19.83	0		0	0	0	0	0	0	1	0	0	0	0	0	837
XM_014140735	LOC106569401	NonCoding	"Click Me"	1	-0.484	-0.403	181	-30.99	0		0	0	0	0	0	0	1	0	0	0	0	0	2297
XM_014140736	LOC106569401	NonCoding	"Click Me"	1	-0.484	-0.403	181	-30.99	0		0	0	0	0	0	0	1	0	0	0	0	0	2449
XM_014140737	LOC106569401	NonCoding	"Click Me"	1	-0.484	-0.403	181	-30.99	0		0	0	0	0	0	0	1	0	0	0	0	0	2294
XM_014135053	LOC100195767	NonCoding	"Click Me"	1	-0.481	-0.521	153	-18.01	0		0	0	0	0	0	0	1	0	0	0	0	0	5374
XM_014135054	LOC100195767	NonCoding	"Click Me"	1	-0.481	-0.521	153	-18.01	0		0	0	0	0	0	0	1	0	0	0	0	0	5062
XM_014135055	LOC100195767	NonCoding	"Click Me"	1	-0.481	-0.521	153	-18.01	0		0	0	0	0	0	0	1	0	0	0	0	0	5296
XM_014135056	LOC100195767	NonCoding	"Click Me"	1	-0.481	-0.521	153	-18.01	0		0	0	0	0	0	0	1	0	0	0	0	0	5152
XM_014192755	LOC106600949	NonCoding	"Click Me"	1	-0.477	-0.452	166	-27.81	0		0	0	0	0	0	0	1	0	0	0	0	0	942
XM_014214904	LOC106613031	NonCoding	"Click Me"	1	-0.477	-0.491	157	-21.81	0		0	0	0	0	0	0	1	0	0	0	0	0	4701
XM_014214905	LOC106613031	NonCoding	"Click Me"	1	-0.477	-0.491	157	-21.81	0		0	0	0	0	0	0	1	0	0	0	0	0	4809
XM_014214906	LOC106613031	NonCoding	"Click Me"	1	-0.477	-0.491	157	-21.81	0		0	0	0	0	0	0	1	0	0	0	0	0	3855
XM_014214907	LOC106613031	NonCoding	"Click Me"	1	-0.477	-0.491	157	-21.81	0		0	0	0	0	0	0	1	0	0	0	0	0	3480
XR_001319554	LOC106564831	NonCoding	"Click Me"	1	-0.473	-0.477	151	-19.51	0		0	0	0	0	0	0	1	0	0	0	0	0	331
XM_014200632	LOC106605221	NonCoding	"Click Me"	1	-0.473	-0.481	152	-19.12	0		0	0	0	0	0	0	1	0	0	0	0	0	1877
NM_001123658	LOC100136565	Coding	"Click Me"	1	-0.473	-0.446	166	-27.81	0		0	0	0	0	0	0	1	0	0	0	0	0	1010
XM_014175490	LOC106587256	NonCoding	"Click Me"	1	-0.471	-0.481	163	-22.55	0		0	0	0	0	0	0	1	0	0	0	0	0	16207
XM_014175492	LOC106587256	NonCoding	"Click Me"	1	-0.471	-0.481	163	-22.55	0		0	0	0	0	0	0	1	0	0	0	0	0	16139
XM_014175493	LOC106587256	NonCoding	"Click Me"	1	-0.471	-0.481	163	-22.55	0		0	0	0	0	0	0	1	0	0	0	0	0	16183
XM_014127278	LOC106562411	NonCoding	"Click Me"	1	-0.471	-0.488	166	-19.34	0		0	0	0	0	0	0	1	0	0	0	0	0	1431
XM_014127279	LOC106562411	NonCoding	"Click Me"	1	-0.471	-0.488	166	-19.34	0		0	0	0	0	0	0	1	0	0	0	0	0	1361
XM_014151836	LOC106575352	NonCoding	"Click Me"	1	-0.47	-0.429	158	-22.28	0		0	0	0	0	0	0	1	0	0	0	0	0	1354
XM_014163026	LOC106581158	NonCoding	"Click Me"	1	-0.47	-0.48	157	-21.81	0		0	0	0	0	0	0	1	0	0	0	0	0	4294
XM_014163027	LOC106581158	NonCoding	"Click Me"	1	-0.47	-0.48	157	-21.81	0		0	0	0	0	0	0	1	0	0	0	0	0	4030
XM_014163028	LOC106581158	NonCoding	"Click Me"	1	-0.47	-0.48	157	-21.81	0		0	0	0	0	0	0	1	0	0	0	0	0	3804
XM_014200770	LOC106605294	NonCoding	"Click Me"	1	-0.468	-0.474	147	-21.24	0		0	0	0	0	0	0	1	0	0	0	0	0	4754
XM_014200771	LOC106605294	NonCoding	"Click Me"	1	-0.468	-0.474	147	-21.24	0		0	0	0	0	0	0	1	0	0	0	0	0	4703
XM_014176181	LOC106587620	NonCoding	"Click Me"	1	-0.468	-0.484	166	-19.34	0		0	0	0	0	0	0	1	0	0	0	0	0	1339
XM_014176183	LOC106587620	NonCoding	"Click Me"	1	-0.468	-0.484	166	-19.34	0		0	0	0	0	0	0	1	0	0	0	0	0	1216
XM_014185789	LOC106594425	NonCoding	"Click Me"	1	-0.468	-0.499	144	-16	0		0	0	0	0	0	0	1	0	0	0	0	0	1800
XM_014182409	LOC106591195	NonCoding	"Click Me"	1	-0.465	-0.497	144	-16	0		0	0	0	0	0	0	1	0	0	0	0	0	2307
XM_014123004	lmbrd1	NonCoding	"Click Me"	1	-0.462	-0.484	152	-18.97	0		0	0	0	0	0	0	1	0	0	0	0	0	3075
XM_014129323	LOC106563603	NonCoding	"Click Me"	1	-0.461	-0.478	145	-16.61	0		0	0	0	0	0	0	1	0	0	0	0	0	1872
XM_014181587	LOC106590500	NonCoding	"Click Me"	1	-0.461	-0.434	154	-21.12	0		0	0	0	0	0	0	1	0	0	0	0	0	2009
XM_014179870	cntd1	NonCoding	"Click Me"	1	-0.46	-0.501	148	-16.6	0		0	0	0	0	0	0	1	0	0	0	0	0	1075
XM_014125745	ric8a	NonCoding	"Click Me"	1	-0.459	-0.514	155	-20.11	0		0	0	0	0	0	0	1	0	0	0	0	0	2698
XM_014125746	ric8a	NonCoding	"Click Me"	1	-0.459	-0.514	155	-20.11	0		0	0	0	0	0	0	1	0	0	0	0	0	2680
XM_014161747	cbwd3	NonCoding	"Click Me"	1	-0.457	-0.453	157	-21.81	0		0	0	0	0	0	0	1	0	0	0	0	0	2069
XM_014142589	LOC106570362	NonCoding	"Click Me"	1	-0.455	-0.45	154	-21.4	0		0	0	0	0	0	0	1	0	0	0	0	0	5871
XM_014201937	LOC106605930	NonCoding	"Click Me"	1	-0.454	-0.474	154	-18.71	0		0	0	0	0	0	0	1	0	0	0	0	0	8958
XM_014201944	LOC106605930	NonCoding	"Click Me"	1	-0.454	-0.474	154	-18.71	0		0	0	0	0	0	0	1	0	0	0	0	0	8955
XM_014201952	LOC106605930	NonCoding	"Click Me"	1	-0.454	-0.474	154	-18.71	0		0	0	0	0	0	0	1	0	0	0	0	0	9179
XM_014201960	LOC106605930	NonCoding	"Click Me"	1	-0.454	-0.474	154	-18.71	0		0	0	0	0	0	0	1	0	0	0	0	0	8928
XM_014177058	LOC106588240	NonCoding	"Click Me"	1	-0.45	-0.504	142	-12.99	0		0	0	0	0	0	0	1	0	0	0	0	0	3118
XM_014202248	LOC106606123	NonCoding	"Click Me"	1	-0.449	-0.42	169	-23.89	0		0	0	0	0	0	0	1	0	0	0	0	0	1108
XM_014188636	LOC106597439	NonCoding	"Click Me"	1	-0.449	-0.431	160	-22.48	0		0	0	0	0	0	0	1	0	0	0	0	0	1090
XM_014137728	LOC106567879	NonCoding	"Click Me"	1	-0.447	-0.411	161	-25.13	0		0	0	0	0	0	0	1	0	0	0	0	0	2697
XR_001327188	LOC106598432	NonCoding	"Click Me"	1	-0.446	-0.361	160	-25.72	0		0	0	0	0	0	0	1	0	0	0	0	0	3314
XR_001327191	LOC106598432	NonCoding	"Click Me"	1	-0.446	-0.361	160	-25.72	0		0	0	0	0	0	0	1	0	0	0	0	0	2909
XM_014130413	LOC106564354	NonCoding	"Click Me"	1	-0.446	-0.492	148	-16.32	0		0	0	0	0	0	0	1	0	0	0	0	0	1952
XM_014124286	tldc1	NonCoding	"Click Me"	1	-0.445	-0.456	151	-19.4	0		0	0	0	0	0	0	1	0	0	0	0	0	3569
XM_014124287	tldc1	NonCoding	"Click Me"	1	-0.445	-0.456	151	-19.4	0		0	0	0	0	0	0	1	0	0	0	0	0	3485
XM_014124288	tldc1	NonCoding	"Click Me"	1	-0.445	-0.456	151	-19.4	0		0	0	0	0	0	0	1	0	0	0	0	0	3723
XM_014183504	LOC106592185	NonCoding	"Click Me"	1	-0.445	-0.446	153	-15.67	0		0	0	0	0	0	0	1	0	0	0	0	0	3083
XM_014186627	LOC106595251	NonCoding	"Click Me"	1	-0.444	-0.428	160	-22.48	0		0	0	0	0	0	0	1	0	0	0	0	0	1107
XM_014186964	LOC106595599	NonCoding	"Click Me"	1	-0.444	-0.428	160	-22.48	0		0	0	0	0	0	0	1	0	0	0	0	0	505
XM_014186967	LOC106595602	NonCoding	"Click Me"	1	-0.444	-0.428	160	-22.48	0		0	0	0	0	0	0	1	0	0	0	0	0	505
XM_014206996	LOC106608825	NonCoding	"Click Me"	1	-0.444	-0.449	152	-21.97	0		0	0	0	0	0	0	1	0	0	0	0	0	9650
XM_014206997	LOC106608825	NonCoding	"Click Me"	1	-0.444	-0.449	152	-21.97	0		0	0	0	0	0	0	1	0	0	0	0	0	9565
XM_014170195	LOC106584692	NonCoding	"Click Me"	1	-0.444	-0.464	141	-13.15	0		0	0	0	0	0	0	1	0	0	0	0	0	4698
XM_014186794	LOC106595421	NonCoding	"Click Me"	1	-0.443	-0.427	160	-22.48	0		0	0	0	0	0	0	1	0	0	0	0	0	1115
XM_014215265	LOC106613223	NonCoding	"Click Me"	1	-0.443	-0.443	161	-18.8	0		0	0	0	0	0	0	1	0	0	0	0	0	1336
XM_014215266	LOC106613223	NonCoding	"Click Me"	1	-0.443	-0.443	161	-18.8	0		0	0	0	0	0	0	1	0	0	0	0	0	1373
XM_014215267	LOC106613223	NonCoding	"Click Me"	1	-0.443	-0.443	161	-18.8	0		0	0	0	0	0	0	1	0	0	0	0	0	1346
XM_014215268	LOC106613223	NonCoding	"Click Me"	1	-0.443	-0.443	161	-18.8	0		0	0	0	0	0	0	1	0	0	0	0	0	1351
XM_014215269	LOC106613223	NonCoding	"Click Me"	1	-0.443	-0.443	161	-18.8	0		0	0	0	0	0	0	1	0	0	0	0	0	1332
XM_014129198	LOC106563523	NonCoding	"Click Me"	1	-0.442	-0.429	154	-22.2	0		0	0	0	0	0	0	1	0	0	0	0	0	2476
XM_014151918	LOC106575418	NonCoding	"Click Me"	1	-0.441	-0.462	154	-22.07	0		0	0	0	0	0	0	1	0	0	0	0	0	1291
XR_001325289	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3938
XR_001325290	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3247
XR_001325291	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3272
XR_001325292	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3228
XR_001325293	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3226
XR_001325295	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3224
XR_001325296	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3272
XR_001325297	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3228
XR_001325299	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3272
XR_001325300	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3293
XR_001325301	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3224
XR_001325302	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3201
XR_001325303	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3270
XR_001325304	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3226
XR_001325305	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3157
XR_001325306	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3253
XR_001325307	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3272
XR_001325308	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3272
XR_001325309	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3249
XR_001325310	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3247
XR_001325311	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3249
XR_001325312	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3134
XR_001325313	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3226
XR_001325314	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3272
XR_001325315	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3272
XR_001325316	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3806
XR_001325317	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3270
XR_001325318	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3180
XR_001325319	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3157
XR_001325320	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3207
XR_001325321	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3180
XR_001325322	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3230
XR_001325323	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3115
XR_001325324	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3067
XR_001325325	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3165
XR_001325326	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3207
XR_001325327	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3270
XR_001325328	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	2981
XR_001325329	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3186
XR_001325330	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3180
XR_001325331	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3002
XR_001325332	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3113
XR_001325333	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3228
XR_001325334	LOC106591408	NonCoding	"Click Me"	1	-0.44	-0.422	150	-20.37	0		0	0	0	0	0	0	1	0	0	0	0	0	3226
XM_014147120	LOC100380641	NonCoding	"Click Me"	1	-0.439	-0.467	148	-14.56	0		0	0	0	0	0	0	1	0	0	0	0	0	14882
XM_014162174	LOC106580773	NonCoding	"Click Me"	1	-0.439	-0.426	149	-16.97	0		0	0	0	0	0	0	1	0	0	0	0	0	2080
XM_014136416	LOC106567281	NonCoding	"Click Me"	1	-0.439	-0.434	141	-16.23	0		0	0	0	0	0	0	1	0	0	0	0	0	5692
XM_014199058	upf3b	NonCoding	"Click Me"	1	-0.439	-0.467	150	-16.57	0		0	0	0	0	0	0	1	0	0	0	0	0	2991
XM_014205125	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16355
XM_014205148	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16277
XM_014205159	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16076
XM_014205173	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	15113
XR_001329258	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16540
XR_001329259	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16537
XR_001329261	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16528
XR_001329262	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16525
XR_001329263	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16516
XR_001329264	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16513
XR_001329265	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16507
XR_001329266	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16489
XR_001329267	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16453
XR_001329268	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16483
XR_001329269	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16477
XR_001329270	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16477
XR_001329271	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16474
XR_001329272	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16471
XR_001329277	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16462
XR_001329279	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16462
XR_001329280	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16456
XR_001329282	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16340
XR_001329283	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16444
XR_001329284	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16441
XR_001329285	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	15880
XR_001329287	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	15917
XR_001329288	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16420
XR_001329291	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16363
XR_001329292	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16360
XR_001329294	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	16204
XR_001329297	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	15640
XR_001329298	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	15577
XR_001329299	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	13607
XR_001329300	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	13544
XR_001329301	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	13775
XR_001329302	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	13702
XR_001329303	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	9340
XR_001329304	LOC106607745	NonCoding	"Click Me"	1	-0.438	-0.485	152	-16.72	0		0	0	0	0	0	0	1	0	0	0	0	0	8440
